frame,dist_z0,dist_z1,dist_z2,dist_z3,dist_z4,dist_z5,dist_z6,dist_z7,dist_z8,dist_z9,dist_z10,dist_z11,dist_z12,dist_z13,dist_z14,dist_z15,dist_z16,dist_z17,dist_z18,dist_z19,dist_z20,dist_z21,dist_z22,dist_z23,dist_z24,dist_z25,dist_z26,dist_z27,dist_z28,dist_z29,dist_z30,dist_z31,dist_z32,dist_z33,dist_z34,dist_z35,dist_z36,dist_z37,dist_z38,dist_z39,dist_z40,dist_z41,dist_z42,dist_z43,dist_z44,dist_z45,dist_z46,dist_z47,dist_z48,dist_z49,dist_z50,dist_z51,dist_z52,dist_z53,dist_z54,dist_z55,dist_z56,dist_z57,dist_z58,dist_z59,dist_z60,dist_z61,dist_z62,dist_z63,sigma_z0,sigma_z1,sigma_z2,sigma_z3,sigma_z4,sigma_z5,sigma_z6,sigma_z7,sigma_z8,sigma_z9,sigma_z10,sigma_z11,sigma_z12,sigma_z13,sigma_z14,sigma_z15,sigma_z16,sigma_z17,sigma_z18,sigma_z19,sigma_z20,sigma_z21,sigma_z22,sigma_z23,sigma_z24,sigma_z25,sigma_z26,sigma_z27,sigma_z28,sigma_z29,sigma_z30,sigma_z31,sigma_z32,sigma_z33,sigma_z34,sigma_z35,sigma_z36,sigma_z37,sigma_z38,sigma_z39,sigma_z40,sigma_z41,sigma_z42,sigma_z43,sigma_z44,sigma_z45,sigma_z46,sigma_z47,sigma_z48,sigma_z49,sigma_z50,sigma_z51,sigma_z52,sigma_z53,sigma_z54,sigma_z55,sigma_z56,sigma_z57,sigma_z58,sigma_z59,sigma_z60,sigma_z61,sigma_z62,sigma_z63,status_z0,status_z1,status_z2,status_z3,status_z4,status_z5,status_z6,status_z7,status_z8,status_z9,status_z10,status_z11,status_z12,status_z13,status_z14,status_z15,status_z16,status_z17,status_z18,status_z19,status_z20,status_z21,status_z22,status_z23,status_z24,status_z25,status_z26,status_z27,status_z28,status_z29,status_z30,status_z31,status_z32,status_z33,status_z34,status_z35,status_z36,status_z37,status_z38,status_z39,status_z40,status_z41,status_z42,status_z43,status_z44,status_z45,status_z46,status_z47,status_z48,status_z49,status_z50,status_z51,status_z52,status_z53,status_z54,status_z55,status_z56,status_z57,status_z58,status_z59,status_z60,status_z61,status_z62,status_z63
0,678,670,668,667,657,663,652,651,692,673,673,675,664,661,653,655,687,694,678,676,673,677,662,668,696,696,686,685,684,675,671,674,709,692,687,693,694,680,683,673,710,713,709,701,693,694,692,678,710,717,708,700,697,693,688,676,726,730,716,695,709,700,706,694,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,3,6,5,5,4,4,4,4,4,5,4,5,4,4,4,4,4,6,4,4,5,5,5,5,5,5,4,5,5,5,4,5,5,7,6,6,5,4,5,6,7,8,7,4,6,5,5,7,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,683,680,674,667,665,652,655,659,688,683,686,670,670,665,670,662,686,696,678,677,676,671,668,672,692,695,694,682,674,687,677,673,692,704,694,700,688,688,682,689,708,707,704,709,689,689,682,680,711,714,713,704,697,690,689,703,725,715,710,708,711,702,696,686,6,4,5,5,3,4,4,6,5,4,4,4,4,4,4,4,6,7,5,4,4,5,4,5,6,4,5,4,4,4,5,5,8,5,5,4,5,5,4,6,5,6,5,5,6,4,6,5,6,6,5,5,5,5,6,7,8,7,5,9,5,5,6,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,679,683,666,659,666,660,660,653,686,679,671,673,672,662,660,658,696,686,682,674,671,675,666,656,699,692,689,681,679,672,671,667,711,699,704,692,682,685,675,665,715,704,706,695,698,696,691,682,722,723,713,698,700,699,680,683,719,732,715,711,702,685,703,701,5,4,4,4,3,4,4,4,5,4,4,4,4,4,4,4,4,6,5,4,3,5,4,5,6,5,5,4,4,4,4,5,6,4,5,5,4,5,5,4,6,5,5,5,7,4,5,4,7,7,5,5,5,5,4,6,8,7,5,6,6,6,6,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,687,665,678,662,660,664,650,652,690,676,677,671,667,669,660,662,681,688,688,682,677,669,670,660,689,697,679,687,685,677,665,661,691,701,684,701,693,688,682,679,716,714,704,700,695,681,698,690,713,711,710,698,700,693,693,706,720,717,710,712,716,692,704,707,5,4,4,4,4,4,4,5,5,4,4,5,5,4,4,4,8,5,5,5,4,4,3,4,5,5,5,4,4,4,5,5,6,5,4,4,5,5,4,5,5,6,5,5,6,5,5,4,7,7,4,5,5,5,6,6,7,12,5,7,6,5,6,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,682,678,666,666,666,659,654,642,692,678,674,671,665,663,665,659,689,683,684,675,674,660,658,664,702,695,689,683,687,682,671,672,712,700,702,696,694,681,682,681,709,707,708,707,691,692,689,678,716,715,706,704,700,689,687,679,735,724,723,702,709,698,699,692,6,4,3,4,4,4,4,4,5,4,4,4,4,4,5,4,6,5,4,4,3,3,4,4,5,4,5,4,4,4,4,5,6,4,4,5,5,5,4,5,5,5,5,5,5,4,5,5,6,7,5,6,5,4,6,6,8,7,6,6,7,5,6,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,685,668,675,667,669,666,650,657,685,691,676,675,675,664,662,656,677,684,681,675,677,670,658,663,700,696,681,680,676,678,683,666,699,703,697,703,688,691,676,675,718,704,714,696,702,682,687,679,715,714,703,712,701,697,700,695,722,706,709,700,706,696,696,686,6,4,4,4,4,4,4,5,4,5,4,5,5,4,5,4,7,7,5,5,4,4,4,4,6,5,5,4,4,4,4,6,7,5,5,4,5,4,4,4,6,6,6,5,6,4,5,6,9,7,6,6,6,5,6,7,7,9,5,6,5,7,6,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,666,680,667,654,660,661,664,656,683,673,674,673,671,663,672,656,696,686,680,676,678,671,665,666,698,688,691,680,676,676,672,676,704,697,688,692,687,679,680,673,721,716,708,699,690,688,689,683,734,718,711,703,696,689,696,688,721,717,710,706,710,701,701,697,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,3,6,5,5,4,4,5,4,4,6,4,5,4,4,4,4,5,5,4,4,5,4,4,5,4,7,5,5,5,6,5,4,6,7,6,7,7,4,5,4,6,7,8,7,7,6,7,6,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,672,676,677,662,662,654,652,652,683,674,678,669,669,661,653,661,704,687,686,678,675,676,664,663,701,693,690,682,678,684,685,676,714,698,704,698,693,677,678,671,718,704,707,704,691,691,695,677,724,723,701,717,697,700,697,693,720,722,717,708,715,711,705,673,5,4,5,4,4,4,4,5,4,5,5,4,4,4,4,4,6,6,4,5,4,5,5,5,7,5,5,4,4,4,5,6,6,4,5,4,5,5,6,5,6,5,5,6,6,4,6,5,7,9,7,5,6,5,6,6,7,8,5,8,6,6,6,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,685,674,659,665,661,663,662,665,685,673,676,674,672,663,661,654,691,684,684,677,679,682,664,659,703,691,694,681,681,675,668,667,688,700,690,686,688,682,679,682,707,704,699,687,698,689,689,683,724,711,708,711,690,699,691,672,734,715,708,710,698,689,697,687,5,4,5,5,4,4,4,6,5,3,4,5,4,4,4,4,6,5,5,4,4,5,3,4,5,4,5,4,4,4,4,4,5,4,4,4,4,4,5,5,5,4,4,5,4,4,5,5,5,6,5,6,4,6,5,6,8,8,5,7,7,6,6,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,677,674,665,664,659,658,659,654,689,682,683,673,663,665,669,667,683,694,684,674,677,674,674,657,704,690,695,691,680,673,678,664,706,700,696,697,693,684,691,666,705,710,699,699,684,682,682,689,726,712,709,706,706,699,684,686,733,717,727,722,710,702,698,679,5,5,4,4,4,4,5,5,5,5,4,4,4,4,4,4,7,6,4,5,4,4,4,4,6,5,5,4,4,4,4,5,5,5,4,4,6,4,5,4,5,7,4,5,5,5,6,5,6,8,6,6,5,5,5,6,8,8,6,8,5,6,6,13,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
