frame,dist_z0,dist_z1,dist_z2,dist_z3,dist_z4,dist_z5,dist_z6,dist_z7,dist_z8,dist_z9,dist_z10,dist_z11,dist_z12,dist_z13,dist_z14,dist_z15,dist_z16,dist_z17,dist_z18,dist_z19,dist_z20,dist_z21,dist_z22,dist_z23,dist_z24,dist_z25,dist_z26,dist_z27,dist_z28,dist_z29,dist_z30,dist_z31,dist_z32,dist_z33,dist_z34,dist_z35,dist_z36,dist_z37,dist_z38,dist_z39,dist_z40,dist_z41,dist_z42,dist_z43,dist_z44,dist_z45,dist_z46,dist_z47,dist_z48,dist_z49,dist_z50,dist_z51,dist_z52,dist_z53,dist_z54,dist_z55,dist_z56,dist_z57,dist_z58,dist_z59,dist_z60,dist_z61,dist_z62,dist_z63,sigma_z0,sigma_z1,sigma_z2,sigma_z3,sigma_z4,sigma_z5,sigma_z6,sigma_z7,sigma_z8,sigma_z9,sigma_z10,sigma_z11,sigma_z12,sigma_z13,sigma_z14,sigma_z15,sigma_z16,sigma_z17,sigma_z18,sigma_z19,sigma_z20,sigma_z21,sigma_z22,sigma_z23,sigma_z24,sigma_z25,sigma_z26,sigma_z27,sigma_z28,sigma_z29,sigma_z30,sigma_z31,sigma_z32,sigma_z33,sigma_z34,sigma_z35,sigma_z36,sigma_z37,sigma_z38,sigma_z39,sigma_z40,sigma_z41,sigma_z42,sigma_z43,sigma_z44,sigma_z45,sigma_z46,sigma_z47,sigma_z48,sigma_z49,sigma_z50,sigma_z51,sigma_z52,sigma_z53,sigma_z54,sigma_z55,sigma_z56,sigma_z57,sigma_z58,sigma_z59,sigma_z60,sigma_z61,sigma_z62,sigma_z63,status_z0,status_z1,status_z2,status_z3,status_z4,status_z5,status_z6,status_z7,status_z8,status_z9,status_z10,status_z11,status_z12,status_z13,status_z14,status_z15,status_z16,status_z17,status_z18,status_z19,status_z20,status_z21,status_z22,status_z23,status_z24,status_z25,status_z26,status_z27,status_z28,status_z29,status_z30,status_z31,status_z32,status_z33,status_z34,status_z35,status_z36,status_z37,status_z38,status_z39,status_z40,status_z41,status_z42,status_z43,status_z44,status_z45,status_z46,status_z47,status_z48,status_z49,status_z50,status_z51,status_z52,status_z53,status_z54,status_z55,status_z56,status_z57,status_z58,status_z59,status_z60,status_z61,status_z62,status_z63
0,687,669,670,659,656,662,652,645,684,671,669,675,669,665,662,660,690,685,677,678,682,664,672,665,707,697,678,679,677,676,675,678,711,697,700,693,681,679,686,675,708,707,706,695,690,696,685,679,717,724,710,716,706,692,690,686,711,727,708,707,704,712,707,700,6,4,4,4,4,4,4,4,5,3,4,5,4,4,3,4,6,5,4,4,4,4,4,4,6,4,4,4,4,4,4,5,6,4,4,5,5,4,4,5,5,6,5,5,6,4,5,5,6,5,6,5,5,5,5,6,7,7,5,7,6,5,5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,689,667,674,676,659,664,656,654,698,679,686,668,664,659,659,657,683,686,675,678,678,667,677,670,704,698,693,689,683,669,672,670,696,708,695,690,691,684,687,678,724,691,703,707,689,690,679,681,719,707,709,715,708,700,695,692,737,712,723,688,697,695,699,706,7,4,5,4,4,4,4,5,5,4,4,4,4,4,4,4,6,6,5,5,4,4,4,5,5,4,6,4,5,4,4,5,7,5,4,5,5,5,5,5,7,5,5,5,5,4,6,6,5,7,7,5,6,5,6,7,8,10,6,7,7,6,6,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,677,677,673,667,664,654,659,649,691,677,669,677,669,672,670,655,686,688,686,667,675,675,666,663,705,706,700,684,678,675,672,666,707,696,687,690,687,680,682,665,706,714,694,703,689,690,686,687,717,723,712,700,695,688,691,700,723,722,719,705,710,697,703,704,5,4,4,4,4,4,4,4,6,4,4,4,4,3,4,4,7,5,4,5,4,4,4,4,6,5,5,4,4,4,5,4,6,4,5,5,5,5,4,4,6,6,4,5,6,4,4,6,6,6,5,5,5,5,5,7,7,8,6,5,5,6,5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,690,667,664,666,669,665,662,649,690,681,682,675,669,664,666,660,686,692,681,672,678,665,666,664,706,704,706,679,685,676,674,674,710,701,698,698,688,688,679,670,713,702,702,696,696,695,686,683,717,710,704,700,700,692,702,685,735,724,716,701,716,705,700,691,5,5,4,5,3,4,4,5,5,4,4,3,4,4,4,4,6,6,5,5,4,4,5,5,7,5,7,4,4,4,5,5,6,5,5,4,5,5,6,5,6,5,6,5,6,5,5,6,5,6,6,5,5,5,6,6,7,9,6,6,7,5,7,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,673,684,678,668,662,659,651,652,676,680,665,670,665,658,670,661,688,684,684,673,673,676,667,663,695,697,688,681,676,681,672,660,713,699,693,692,686,677,684,676,718,695,703,714,688,677,683,687,718,703,704,704,705,687,680,694,714,721,718,719,701,699,709,696,5,4,5,4,4,4,3,5,6,4,4,4,4,3,4,4,6,6,5,4,4,5,4,4,6,4,5,4,4,4,5,5,6,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,6,6,5,5,5,5,7,7,9,5,6,5,4,6,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,678,676,671,669,653,659,658,650,688,685,670,674,670,664,649,651,691,693,674,680,674,665,674,665,701,695,689,681,680,687,664,675,704,699,702,678,692,677,679,671,720,711,707,688,700,690,690,681,726,709,717,701,693,698,700,698,736,717,710,708,706,705,698,710,5,5,4,4,4,4,4,5,5,5,4,4,5,4,4,4,7,6,5,5,4,5,4,4,7,4,5,4,4,4,5,6,6,5,4,4,5,4,5,4,6,6,6,5,5,5,6,5,6,7,5,5,4,5,5,7,9,8,5,7,7,5,6,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,681,683,672,671,662,656,655,648,688,685,683,675,667,666,653,649,702,678,684,692,670,676,667,666,700,697,691,688,687,678,669,673,711,709,686,700,692,682,680,673,724,705,704,697,695,689,684,679,719,707,704,703,705,696,692,691,723,720,719,698,710,694,689,687,5,4,5,4,3,3,4,4,4,4,4,3,4,4,4,4,5,5,5,4,3,5,4,4,5,5,5,4,4,4,4,5,8,5,5,5,4,5,4,5,5,5,5,6,5,4,4,5,5,6,6,5,5,5,5,6,8,8,5,8,6,6,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,687,679,676,674,660,656,650,658,679,682,669,677,671,667,670,659,695,687,685,678,674,674,664,660,697,685,684,686,688,675,683,657,707,706,694,695,687,682,685,682,713,718,703,696,690,692,673,681,721,713,703,705,706,701,694,690,729,720,711,705,705,700,706,685,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,3,5,7,5,5,4,5,4,4,6,5,5,4,4,4,6,5,7,5,5,6,5,5,4,5,6,5,4,6,6,4,6,5,5,7,6,7,7,5,6,6,8,11,5,7,5,5,6,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,685,672,668,662,662,664,663,657,681,678,682,677,669,663,661,654,683,687,678,669,677,669,672,664,704,689,687,679,684,675,673,674,712,697,686,692,689,679,685,678,717,714,703,697,698,685,683,682,718,701,714,700,706,696,687,688,731,720,717,714,694,702,694,744,5,4,3,4,3,4,4,4,5,5,4,3,4,4,3,4,5,6,5,4,4,4,4,4,6,4,5,4,4,4,4,4,6,4,5,5,5,4,4,4,5,6,5,4,5,5,5,5,7,6,5,6,5,5,6,5,9,7,5,7,6,6,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,673,678,672,660,670,660,666,647,683,696,678,674,671,665,655,652,678,694,688,682,668,675,667,671,695,697,700,686,680,679,666,673,713,703,685,693,689,677,683,677,713,706,707,705,703,686,678,681,725,716,709,702,704,687,686,701,733,724,718,707,712,701,705,697,5,5,4,4,4,4,5,5,5,4,4,5,4,4,4,4,6,6,4,6,4,5,3,5,6,4,6,4,4,4,5,5,6,5,5,5,6,4,4,5,6,6,5,5,6,5,5,6,6,6,5,6,6,5,6,9,10,7,5,7,6,6,6,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
