frame,dist_z0,dist_z1,dist_z2,dist_z3,dist_z4,dist_z5,dist_z6,dist_z7,dist_z8,dist_z9,dist_z10,dist_z11,dist_z12,dist_z13,dist_z14,dist_z15,sigma_z0,sigma_z1,sigma_z2,sigma_z3,sigma_z4,sigma_z5,sigma_z6,sigma_z7,sigma_z8,sigma_z9,sigma_z10,sigma_z11,sigma_z12,sigma_z13,sigma_z14,sigma_z15,status_z0,status_z1,status_z2,status_z3,status_z4,status_z5,status_z6,status_z7,status_z8,status_z9,status_z10,status_z11,status_z12,status_z13,status_z14,status_z15
0,481,476,472,464,488,485,480,474,498,491,487,479,510,501,494,488,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,483,476,469,461,489,486,478,473,500,493,485,480,504,500,494,489,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,482,475,468,465,491,486,478,475,500,493,486,480,507,499,490,492,1,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,483,475,469,464,491,483,479,474,497,490,488,479,511,501,494,487,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,481,476,471,465,490,485,480,472,501,494,486,478,508,501,493,487,1,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,482,475,471,464,491,485,478,472,498,492,483,479,505,501,493,488,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,484,477,473,464,491,486,477,472,497,491,486,477,506,500,496,490,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,481,475,470,462,490,484,476,472,498,491,486,480,505,499,493,491,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,483,474,470,464,491,483,480,471,498,493,484,481,506,500,494,489,1,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,481,478,469,464,492,484,479,472,495,491,486,481,505,500,492,486,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,482,476,470,462,494,485,477,470,499,494,486,481,512,503,492,485,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11,483,477,471,466,489,484,479,473,500,493,485,481,506,502,493,489,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12,486,480,471,464,489,485,478,471,501,490,486,479,509,501,497,487,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
13,482,478,471,462,491,481,478,472,494,493,484,478,507,498,495,486,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14,481,476,471,465,493,485,480,473,499,496,489,485,506,503,495,489,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15,481,477,470,464,491,483,479,472,498,492,485,481,505,504,494,489,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
