frame,dist_z0,dist_z1,dist_z2,dist_z3,dist_z4,dist_z5,dist_z6,dist_z7,dist_z8,dist_z9,dist_z10,dist_z11,dist_z12,dist_z13,dist_z14,dist_z15,dist_z16,dist_z17,dist_z18,dist_z19,dist_z20,dist_z21,dist_z22,dist_z23,dist_z24,dist_z25,dist_z26,dist_z27,dist_z28,dist_z29,dist_z30,dist_z31,dist_z32,dist_z33,dist_z34,dist_z35,dist_z36,dist_z37,dist_z38,dist_z39,dist_z40,dist_z41,dist_z42,dist_z43,dist_z44,dist_z45,dist_z46,dist_z47,dist_z48,dist_z49,dist_z50,dist_z51,dist_z52,dist_z53,dist_z54,dist_z55,dist_z56,dist_z57,dist_z58,dist_z59,dist_z60,dist_z61,dist_z62,dist_z63,sigma_z0,sigma_z1,sigma_z2,sigma_z3,sigma_z4,sigma_z5,sigma_z6,sigma_z7,sigma_z8,sigma_z9,sigma_z10,sigma_z11,sigma_z12,sigma_z13,sigma_z14,sigma_z15,sigma_z16,sigma_z17,sigma_z18,sigma_z19,sigma_z20,sigma_z21,sigma_z22,sigma_z23,sigma_z24,sigma_z25,sigma_z26,sigma_z27,sigma_z28,sigma_z29,sigma_z30,sigma_z31,sigma_z32,sigma_z33,sigma_z34,sigma_z35,sigma_z36,sigma_z37,sigma_z38,sigma_z39,sigma_z40,sigma_z41,sigma_z42,sigma_z43,sigma_z44,sigma_z45,sigma_z46,sigma_z47,sigma_z48,sigma_z49,sigma_z50,sigma_z51,sigma_z52,sigma_z53,sigma_z54,sigma_z55,sigma_z56,sigma_z57,sigma_z58,sigma_z59,sigma_z60,sigma_z61,sigma_z62,sigma_z63,status_z0,status_z1,status_z2,status_z3,status_z4,status_z5,status_z6,status_z7,status_z8,status_z9,status_z10,status_z11,status_z12,status_z13,status_z14,status_z15,status_z16,status_z17,status_z18,status_z19,status_z20,status_z21,status_z22,status_z23,status_z24,status_z25,status_z26,status_z27,status_z28,status_z29,status_z30,status_z31,status_z32,status_z33,status_z34,status_z35,status_z36,status_z37,status_z38,status_z39,status_z40,status_z41,status_z42,status_z43,status_z44,status_z45,status_z46,status_z47,status_z48,status_z49,status_z50,status_z51,status_z52,status_z53,status_z54,status_z55,status_z56,status_z57,status_z58,status_z59,status_z60,status_z61,status_z62,status_z63
0,681,672,664,665,669,657,663,657,685,679,671,675,669,673,668,660,685,689,680,679,673,667,667,659,694,695,692,680,686,687,675,674,707,694,695,697,692,686,676,682,721,706,703,703,697,680,672,691,711,717,719,720,701,700,708,709,718,724,718,718,715,694,700,696,6,5,5,5,4,4,5,6,6,5,5,5,5,6,4,5,8,8,6,6,5,4,4,5,8,5,6,4,5,5,6,7,8,6,7,5,5,6,5,5,7,6,6,5,7,6,5,6,7,8,7,5,5,7,5,9,9,10,6,8,6,7,7,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,683,683,675,670,660,656,657,665,692,682,672,671,668,663,657,658,686,691,687,675,678,669,675,668,719,704,705,684,686,677,665,671,713,707,710,686,683,692,682,682,715,711,708,698,689,692,687,679,724,712,705,702,713,702,700,690,759,721,717,729,717,695,706,686,8,5,5,6,5,5,5,5,8,5,6,5,6,5,6,5,7,8,5,6,6,5,6,5,7,6,7,5,5,6,5,7,9,5,6,6,6,4,7,5,6,7,7,6,8,8,6,7,10,8,9,7,8,6,7,6,12,12,8,11,7,8,7,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,683,681,686,663,662,659,655,652,695,684,678,681,666,667,663,662,683,675,676,687,673,668,667,665,697,695,688,681,682,676,673,680,708,695,689,692,689,684,679,664,712,708,708,709,699,690,682,680,723,721,697,702,689,692,691,690,726,708,712,699,711,708,708,709,7,5,6,4,5,4,4,6,6,5,4,5,5,5,6,5,7,8,5,5,4,5,5,5,7,6,6,5,5,4,6,6,7,5,5,6,5,5,5,6,7,6,6,6,6,6,7,6,7,8,6,6,7,6,6,9,8,10,7,10,9,6,6,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,692,668,669,676,662,649,646,660,687,682,677,681,662,665,667,654,698,686,667,679,674,672,667,671,702,694,692,692,686,681,671,666,700,703,696,692,691,691,681,683,710,703,704,708,691,689,698,701,736,716,717,702,689,702,700,710,732,737,718,719,719,702,703,714,7,7,5,6,5,5,4,6,6,5,5,7,5,5,5,4,6,6,5,6,5,6,5,5,7,6,6,6,5,6,5,6,7,6,6,6,6,6,6,6,5,8,6,9,8,6,9,6,8,7,8,7,6,6,6,7,8,10,7,9,6,7,8,13,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,671,685,672,668,655,674,648,655,686,680,682,677,670,675,662,660,687,696,676,694,684,679,660,667,700,694,693,691,680,680,684,670,691,695,704,692,685,684,678,674,722,702,704,696,704,696,687,677,719,711,695,702,704,696,675,700,739,723,715,703,712,711,719,689,6,5,5,6,4,5,4,6,5,5,4,5,5,5,5,4,7,6,6,4,5,5,5,4,6,6,7,5,5,4,4,6,7,5,4,6,7,6,6,5,8,7,6,5,7,5,6,5,10,9,6,7,5,7,6,10,8,7,6,7,6,10,6,13,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,694,675,667,662,670,658,663,663,686,678,682,681,667,663,666,657,686,678,688,675,672,671,675,668,711,691,695,685,694,682,684,662,708,696,696,703,689,686,688,686,711,711,708,695,706,698,681,689,721,716,717,708,700,701,694,685,720,720,718,721,706,706,706,704,6,6,5,5,4,6,5,7,6,5,7,6,6,5,5,5,10,7,5,7,4,5,4,5,6,5,7,5,5,6,5,6,10,6,6,7,6,6,5,5,6,8,6,7,5,5,6,6,9,9,7,8,6,7,9,7,11,10,7,9,8,8,8,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,688,674,679,675,662,662,669,646,693,685,681,675,666,665,653,672,704,702,683,690,680,667,669,663,712,699,698,684,689,677,669,671,697,701,708,697,693,691,683,678,694,696,707,690,693,698,677,680,717,729,729,696,693,700,696,686,728,720,726,711,718,695,697,706,7,5,6,5,5,5,6,5,7,5,5,4,5,5,5,5,7,5,5,5,5,6,6,5,7,5,6,6,6,4,5,6,8,5,5,5,6,5,6,5,6,6,6,7,7,6,6,7,8,9,7,7,6,6,6,8,10,12,7,9,6,7,7,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,682,679,678,680,664,659,655,663,690,684,680,682,661,665,662,656,687,688,682,684,676,671,681,673,695,695,687,693,686,677,670,673,714,698,705,693,689,676,672,684,713,709,709,693,708,686,674,684,731,698,707,708,704,697,695,696,739,742,714,703,704,694,702,675,6,6,4,6,5,6,5,8,6,8,5,6,5,5,5,5,8,7,6,5,5,6,5,5,7,6,6,5,5,5,5,6,8,6,6,5,6,5,5,5,6,7,7,6,7,6,6,7,9,9,9,9,6,7,5,7,11,10,7,13,8,6,8,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,679,679,664,663,664,666,657,660,687,685,673,675,667,658,659,650,693,687,679,680,684,678,675,677,700,692,700,693,688,677,680,670,695,702,696,695,700,687,688,685,711,710,696,695,699,697,684,689,715,723,714,713,707,689,698,702,734,718,723,706,707,708,702,703,7,6,5,5,5,5,4,5,5,6,5,6,5,4,5,5,10,7,6,6,5,5,4,5,6,5,5,5,6,5,7,4,7,6,6,6,6,6,5,6,8,6,5,6,7,5,5,5,8,10,6,7,6,6,8,8,8,9,6,10,6,8,6,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,672,678,677,668,663,655,657,653,692,683,674,671,681,674,667,664,698,673,684,682,673,673,659,664,692,698,701,694,686,677,672,673,714,704,693,696,690,685,689,677,710,707,704,705,701,674,684,678,719,722,710,691,713,693,693,705,723,712,712,712,723,698,690,687,7,5,6,5,5,5,5,6,6,6,5,6,6,6,4,6,7,6,6,6,5,5,5,6,6,6,6,5,5,6,6,5,9,6,7,7,6,6,6,6,6,6,6,7,8,6,7,7,8,7,7,6,7,6,8,9,10,12,7,7,7,9,8,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
