frame,dist_z0,dist_z1,dist_z2,dist_z3,dist_z4,dist_z5,dist_z6,dist_z7,dist_z8,dist_z9,dist_z10,dist_z11,dist_z12,dist_z13,dist_z14,dist_z15,dist_z16,dist_z17,dist_z18,dist_z19,dist_z20,dist_z21,dist_z22,dist_z23,dist_z24,dist_z25,dist_z26,dist_z27,dist_z28,dist_z29,dist_z30,dist_z31,dist_z32,dist_z33,dist_z34,dist_z35,dist_z36,dist_z37,dist_z38,dist_z39,dist_z40,dist_z41,dist_z42,dist_z43,dist_z44,dist_z45,dist_z46,dist_z47,dist_z48,dist_z49,dist_z50,dist_z51,dist_z52,dist_z53,dist_z54,dist_z55,dist_z56,dist_z57,dist_z58,dist_z59,dist_z60,dist_z61,dist_z62,dist_z63,sigma_z0,sigma_z1,sigma_z2,sigma_z3,sigma_z4,sigma_z5,sigma_z6,sigma_z7,sigma_z8,sigma_z9,sigma_z10,sigma_z11,sigma_z12,sigma_z13,sigma_z14,sigma_z15,sigma_z16,sigma_z17,sigma_z18,sigma_z19,sigma_z20,sigma_z21,sigma_z22,sigma_z23,sigma_z24,sigma_z25,sigma_z26,sigma_z27,sigma_z28,sigma_z29,sigma_z30,sigma_z31,sigma_z32,sigma_z33,sigma_z34,sigma_z35,sigma_z36,sigma_z37,sigma_z38,sigma_z39,sigma_z40,sigma_z41,sigma_z42,sigma_z43,sigma_z44,sigma_z45,sigma_z46,sigma_z47,sigma_z48,sigma_z49,sigma_z50,sigma_z51,sigma_z52,sigma_z53,sigma_z54,sigma_z55,sigma_z56,sigma_z57,sigma_z58,sigma_z59,sigma_z60,sigma_z61,sigma_z62,sigma_z63,status_z0,status_z1,status_z2,status_z3,status_z4,status_z5,status_z6,status_z7,status_z8,status_z9,status_z10,status_z11,status_z12,status_z13,status_z14,status_z15,status_z16,status_z17,status_z18,status_z19,status_z20,status_z21,status_z22,status_z23,status_z24,status_z25,status_z26,status_z27,status_z28,status_z29,status_z30,status_z31,status_z32,status_z33,status_z34,status_z35,status_z36,status_z37,status_z38,status_z39,status_z40,status_z41,status_z42,status_z43,status_z44,status_z45,status_z46,status_z47,status_z48,status_z49,status_z50,status_z51,status_z52,status_z53,status_z54,status_z55,status_z56,status_z57,status_z58,status_z59,status_z60,status_z61,status_z62,status_z63
0,675,688,668,663,660,657,647,651,703,670,674,671,657,657,654,655,691,677,686,675,670,679,663,654,695,687,682,680,680,671,657,664,711,699,690,697,690,684,680,674,717,706,711,697,697,688,676,687,710,723,703,697,697,689,690,680,708,727,721,708,712,685,698,700,5,5,4,4,4,4,3,4,5,4,4,4,3,4,4,4,5,5,5,5,4,4,4,4,6,4,5,4,4,4,4,5,6,4,4,5,5,5,4,4,6,5,6,5,5,4,5,6,6,7,6,5,5,5,5,5,7,9,5,6,5,5,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,680,667,662,664,650,653,653,655,672,682,672,665,661,654,653,653,688,685,677,675,672,661,666,663,700,694,690,677,681,675,670,659,723,695,706,692,685,679,674,677,693,702,708,695,692,684,685,688,710,703,725,706,698,692,692,685,727,711,714,715,702,703,699,692,5,5,4,4,4,4,4,5,5,4,4,4,4,4,4,4,7,6,6,5,4,4,5,4,5,4,5,4,4,4,5,5,7,4,5,5,4,5,4,5,6,6,5,5,5,4,6,6,6,7,6,6,5,5,5,6,10,7,6,7,6,5,6,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,683,677,677,659,661,647,656,654,681,674,671,671,667,661,658,652,692,689,686,677,666,674,658,657,697,687,696,681,683,675,681,667,704,695,700,696,683,672,678,678,709,700,699,696,697,689,684,677,717,713,703,699,700,705,688,680,718,706,717,718,707,697,698,698,5,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,5,4,5,4,4,4,4,5,5,4,4,4,4,5,6,6,4,4,4,4,4,4,4,5,5,4,5,5,4,4,4,7,6,6,6,5,4,5,5,7,8,5,8,5,6,6,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,680,677,673,667,654,655,658,650,682,682,667,669,663,664,654,653,689,689,678,673,672,672,669,665,692,688,679,682,681,667,675,666,699,691,690,683,694,685,683,675,707,702,692,695,688,685,680,691,706,706,707,711,702,698,694,687,706,732,710,708,700,697,690,688,5,4,4,5,4,4,4,5,5,5,5,5,4,4,4,4,6,6,5,4,4,5,4,4,7,4,4,4,4,4,5,5,6,4,4,5,6,5,4,5,6,5,5,6,6,4,5,7,7,7,5,5,5,5,5,6,9,8,4,7,6,5,6,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,679,665,664,666,660,658,655,648,678,677,673,667,661,657,653,656,679,691,673,674,672,669,670,658,692,695,687,682,671,673,666,677,699,695,689,687,683,676,678,670,707,703,702,701,694,691,686,682,720,714,706,701,702,694,700,687,717,716,709,695,698,697,697,699,4,5,4,4,4,4,4,4,4,4,5,4,4,4,3,3,6,6,5,5,3,4,3,4,5,5,5,4,4,4,4,5,6,4,4,5,4,5,4,5,5,5,4,5,5,4,5,6,5,8,7,5,6,4,5,6,7,9,5,8,6,5,5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,679,680,665,658,665,662,654,646,682,669,678,671,657,656,665,660,697,689,675,667,686,671,666,663,696,694,684,678,683,668,669,661,712,705,700,683,682,686,678,673,713,704,699,698,695,687,685,678,730,713,715,699,698,689,695,684,720,726,717,690,693,696,704,687,6,5,4,4,4,4,4,5,6,4,5,5,4,4,4,5,6,6,5,4,4,5,5,4,6,5,5,4,5,4,4,5,7,5,4,5,4,5,6,4,5,5,4,5,5,4,5,6,7,7,5,6,5,5,6,5,8,7,6,7,6,7,5,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,680,670,665,668,663,655,649,652,688,676,674,671,664,663,660,654,698,670,682,688,672,663,663,660,688,697,688,680,674,681,676,663,698,697,699,678,681,681,675,675,714,713,701,695,687,687,672,690,706,715,711,691,700,690,691,696,717,724,709,707,707,697,690,710,5,5,4,4,3,4,4,4,4,4,4,3,4,4,4,4,6,5,4,4,3,4,4,4,6,5,5,4,4,4,4,4,5,5,4,4,4,4,4,4,5,6,4,4,6,4,5,7,6,7,5,5,5,4,7,7,6,7,5,6,5,5,6,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,678,683,668,657,662,655,657,650,688,682,674,662,666,663,654,658,682,686,688,680,667,668,662,666,702,685,693,685,677,675,671,675,702,695,705,682,683,678,676,673,705,711,717,691,681,683,697,694,715,708,696,693,695,696,687,705,736,726,715,708,710,691,701,675,6,5,4,5,4,5,4,5,6,5,5,4,4,4,4,4,6,7,6,5,4,5,5,5,5,5,6,4,4,4,5,5,6,4,4,4,5,5,5,5,4,5,6,6,6,5,6,5,6,6,6,5,5,5,6,5,7,9,7,7,5,6,6,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,670,677,666,665,659,660,647,645,685,687,677,672,678,671,664,654,684,692,683,681,670,670,667,658,697,697,687,684,675,679,661,666,691,691,697,694,683,687,670,676,714,701,698,696,681,694,685,684,711,709,701,706,701,689,699,678,717,721,712,710,696,695,707,685,5,3,4,4,4,4,4,5,5,5,3,5,3,4,4,3,6,6,4,5,4,5,4,4,6,5,5,4,3,4,4,5,6,4,4,4,5,5,5,5,5,5,4,4,6,4,5,6,6,8,6,6,6,5,5,5,7,7,5,7,6,6,7,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,684,668,671,667,658,654,657,641,689,683,682,668,660,660,661,645,689,688,676,689,674,668,659,665,688,696,680,680,684,676,667,658,703,705,692,694,689,684,679,668,710,709,698,702,691,686,688,671,708,713,719,702,689,694,674,680,738,731,709,699,708,702,697,705,6,5,4,4,4,4,5,5,5,5,4,4,4,4,4,4,5,6,5,5,4,4,4,5,7,5,5,4,5,4,5,6,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,6,8,8,5,6,6,5,5,7,7,10,5,6,6,5,6,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
