frame,dist_z0,dist_z1,dist_z2,dist_z3,dist_z4,dist_z5,dist_z6,dist_z7,dist_z8,dist_z9,dist_z10,dist_z11,dist_z12,dist_z13,dist_z14,dist_z15,sigma_z0,sigma_z1,sigma_z2,sigma_z3,sigma_z4,sigma_z5,sigma_z6,sigma_z7,sigma_z8,sigma_z9,sigma_z10,sigma_z11,sigma_z12,sigma_z13,sigma_z14,sigma_z15,status_z0,status_z1,status_z2,status_z3,status_z4,status_z5,status_z6,status_z7,status_z8,status_z9,status_z10,status_z11,status_z12,status_z13,status_z14,status_z15
0,480,476,469,464,487,483,477,471,497,490,485,477,505,498,493,489,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,480,475,470,463,488,483,478,471,496,492,485,478,505,500,494,488,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,481,474,468,464,490,483,477,470,497,490,484,478,504,498,493,488,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,482,474,469,463,489,484,477,470,497,491,485,480,505,499,493,489,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,480,474,469,464,489,483,476,471,495,490,484,479,502,501,494,485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,480,474,469,463,488,482,477,470,497,492,486,479,506,498,493,488,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,480,474,468,464,488,482,475,470,498,489,483,477,505,498,491,486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,480,475,469,462,490,482,477,472,497,491,486,478,505,498,491,488,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,481,473,469,464,489,484,477,470,497,490,484,478,505,500,491,489,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,480,473,468,464,489,484,477,470,496,491,485,480,504,498,493,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,480,475,468,462,490,483,477,470,498,490,484,479,506,499,491,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11,479,475,469,463,488,483,476,470,498,491,486,478,506,500,494,485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12,480,474,469,464,490,482,476,470,497,489,485,480,503,499,492,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
13,482,475,469,464,491,483,476,471,499,490,485,479,503,499,490,488,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14,481,474,468,462,487,482,476,470,497,491,483,479,505,501,492,486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15,480,475,469,463,489,484,478,469,497,491,485,480,504,498,493,488,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
16,480,474,470,463,489,484,476,470,497,491,484,478,502,499,490,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
17,480,475,470,463,490,484,476,470,496,490,485,480,503,499,492,486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
18,480,474,469,464,490,481,477,470,496,491,486,479,505,500,491,489,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
19,480,476,469,464,490,483,477,471,497,491,485,477,504,501,491,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20,480,474,468,462,491,483,478,470,498,489,486,478,503,499,493,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
21,480,475,469,464,490,483,476,471,497,490,484,479,506,499,494,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
22,480,475,468,463,487,482,478,469,496,491,485,478,503,499,492,488,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
23,480,474,469,463,488,483,477,472,496,491,486,480,505,500,490,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
24,481,473,469,464,489,483,477,471,497,490,485,477,506,499,493,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25,480,475,468,464,489,482,478,470,496,491,485,480,505,501,494,486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26,481,476,468,463,488,483,476,470,497,490,485,479,504,499,495,489,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
27,482,475,469,465,488,483,479,470,496,490,485,479,503,501,491,489,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
28,478,475,470,463,490,485,477,471,497,491,485,479,505,499,491,486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
29,479,474,470,462,490,483,477,472,498,491,484,477,505,500,492,488,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30,479,474,469,462,489,483,476,471,497,490,484,480,503,499,494,486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
31,482,474,469,464,490,484,478,472,498,491,485,479,505,498,493,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
32,480,474,469,464,489,483,477,471,497,491,485,480,502,498,492,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
33,480,474,470,464,490,484,478,472,497,491,485,479,503,498,495,486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
34,480,475,468,463,490,483,477,471,497,488,484,479,504,498,492,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
35,481,474,470,465,490,483,477,470,496,491,485,480,509,501,492,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
36,481,474,469,464,488,483,477,472,497,490,485,478,505,498,493,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
37,480,476,468,462,488,484,477,471,496,491,484,479,505,501,495,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
38,479,473,469,461,487,483,476,471,496,491,484,478,505,499,492,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
39,480,474,468,465,489,483,478,470,496,490,485,479,507,499,494,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
40,480,475,468,462,489,483,477,471,497,490,486,479,504,500,493,488,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
41,480,475,470,463,491,484,477,472,497,490,485,478,504,499,493,486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
42,480,474,469,464,489,483,477,470,497,491,485,479,504,500,492,488,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
43,481,476,470,463,489,484,477,469,496,492,486,480,504,499,495,486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
44,479,475,468,462,489,483,476,470,497,490,485,478,503,498,490,486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
45,479,476,470,464,490,484,478,471,497,492,484,478,505,499,494,486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
46,479,475,468,463,489,484,476,471,496,488,485,478,504,497,493,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
47,480,475,469,462,490,484,478,470,496,490,486,478,505,499,492,488,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
48,479,473,469,462,488,483,476,470,498,490,485,479,503,499,493,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
49,481,475,470,463,491,484,478,471,498,489,484,480,503,500,491,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
50,479,474,469,464,490,484,477,471,497,490,484,478,505,498,492,488,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
51,482,475,468,463,490,484,477,471,498,490,486,479,505,501,494,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
52,480,475,468,462,490,484,478,471,495,489,485,479,505,498,493,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
53,480,475,470,464,492,482,478,473,498,492,485,479,505,499,492,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
54,479,474,469,462,490,483,476,470,496,489,484,479,502,499,491,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
55,481,475,470,464,491,483,477,471,497,490,486,479,505,500,492,489,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
56,479,475,468,462,488,483,477,471,496,489,485,478,505,500,494,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
57,481,475,470,463,490,483,478,471,498,490,484,480,506,500,491,489,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
58,480,474,468,464,487,482,476,472,496,491,485,479,505,498,492,487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
