frame,dist_z0,dist_z1,dist_z2,dist_z3,dist_z4,dist_z5,dist_z6,dist_z7,dist_z8,dist_z9,dist_z10,dist_z11,dist_z12,dist_z13,dist_z14,dist_z15,sigma_z0,sigma_z1,sigma_z2,sigma_z3,sigma_z4,sigma_z5,sigma_z6,sigma_z7,sigma_z8,sigma_z9,sigma_z10,sigma_z11,sigma_z12,sigma_z13,sigma_z14,sigma_z15,status_z0,status_z1,status_z2,status_z3,status_z4,status_z5,status_z6,status_z7,status_z8,status_z9,status_z10,status_z11,status_z12,status_z13,status_z14,status_z15
0,874,872,861,857,890,882,875,868,898,892,884,875,910,901,893,883,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,880,872,866,854,889,883,875,868,898,897,887,876,907,905,900,888,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,873,872,863,852,891,881,874,864,902,896,887,873,914,904,896,888,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,874,869,865,856,891,881,874,868,901,894,889,877,912,904,897,885,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,873,865,864,854,892,884,875,867,896,894,886,875,909,904,896,882,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,878,870,862,856,888,881,874,862,896,893,888,879,913,908,896,887,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,876,871,863,855,892,882,874,867,896,893,886,880,910,902,898,890,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,878,873,859,857,893,884,873,865,900,894,886,877,909,904,898,895,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,877,874,861,854,890,881,872,864,901,892,891,874,912,908,896,885,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,880,869,864,854,895,882,870,869,900,893,887,875,910,901,898,888,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,876,870,863,856,885,883,877,869,900,893,891,879,909,903,897,890,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11,877,869,864,854,889,882,875,863,901,895,887,875,913,904,892,886,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12,878,870,862,855,886,881,876,869,900,895,884,876,907,902,896,885,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
13,876,868,865,855,893,882,878,867,901,899,886,877,910,905,894,887,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14,872,870,864,853,892,884,874,864,898,893,887,875,908,902,894,882,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15,881,873,862,856,889,880,874,865,904,893,887,875,910,904,897,888,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
16,877,869,864,855,892,880,873,867,897,892,887,877,909,905,896,888,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
17,874,872,861,856,886,883,873,867,899,895,890,880,916,903,895,887,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
18,878,872,860,852,890,881,876,866,900,894,882,878,910,904,895,886,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
19,881,870,862,856,889,881,877,865,898,892,886,875,912,903,896,887,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20,875,872,864,852,891,882,875,866,897,890,885,881,912,900,897,881,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
21,878,874,865,858,889,881,876,864,900,893,888,876,914,903,897,889,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
22,877,873,863,857,893,883,878,867,901,896,887,875,911,905,893,885,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
23,878,874,865,854,891,883,873,867,898,892,888,877,908,899,896,887,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
24,878,868,864,856,889,883,873,865,900,892,884,875,913,897,896,885,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25,875,870,862,853,890,885,873,868,902,894,883,877,908,905,894,888,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26,877,869,866,854,890,879,877,863,903,892,887,871,905,906,897,889,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
27,878,870,863,854,887,880,874,868,899,891,888,880,913,909,896,887,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
28,879,873,861,856,888,884,875,863,901,892,884,875,912,901,897,882,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
29,876,874,864,853,891,883,872,864,902,895,890,874,910,907,896,887,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
