frame,dist_z0,dist_z1,dist_z2,dist_z3,dist_z4,dist_z5,dist_z6,dist_z7,dist_z8,dist_z9,dist_z10,dist_z11,dist_z12,dist_z13,dist_z14,dist_z15,sigma_z0,sigma_z1,sigma_z2,sigma_z3,sigma_z4,sigma_z5,sigma_z6,sigma_z7,sigma_z8,sigma_z9,sigma_z10,sigma_z11,sigma_z12,sigma_z13,sigma_z14,sigma_z15,status_z0,status_z1,status_z2,status_z3,status_z4,status_z5,status_z6,status_z7,status_z8,status_z9,status_z10,status_z11,status_z12,status_z13,status_z14,status_z15
0,679,673,661,660,692,681,676,669,704,697,690,682,720,712,706,692,2,2,2,2,3,2,2,2,3,2,2,2,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,680,671,665,656,691,682,675,665,703,700,691,675,714,708,699,696,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,675,670,662,659,691,682,678,667,703,700,685,681,722,713,694,692,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,679,672,663,653,694,684,676,673,710,694,686,680,721,712,699,693,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,682,670,663,656,691,688,680,668,705,696,689,682,717,708,701,697,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,679,675,663,654,693,682,673,670,705,699,690,679,717,712,697,694,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,677,671,661,657,692,686,676,671,701,695,688,683,717,714,704,694,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,680,670,661,658,694,685,676,673,703,695,689,682,720,708,703,698,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,682,671,665,657,692,685,676,669,701,695,689,682,722,713,707,693,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,678,674,663,656,692,688,675,665,705,699,688,681,717,711,697,691,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
