frame,dist_z0,dist_z1,dist_z2,dist_z3,dist_z4,dist_z5,dist_z6,dist_z7,dist_z8,dist_z9,dist_z10,dist_z11,dist_z12,dist_z13,dist_z14,dist_z15,sigma_z0,sigma_z1,sigma_z2,sigma_z3,sigma_z4,sigma_z5,sigma_z6,sigma_z7,sigma_z8,sigma_z9,sigma_z10,sigma_z11,sigma_z12,sigma_z13,sigma_z14,sigma_z15,status_z0,status_z1,status_z2,status_z3,status_z4,status_z5,status_z6,status_z7,status_z8,status_z9,status_z10,status_z11,status_z12,status_z13,status_z14,status_z15
0,879,872,864,857,890,882,876,868,904,897,890,879,908,906,898,892,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,878,876,866,857,895,883,876,869,902,895,891,881,915,908,899,884,2,2,1,1,2,1,2,2,2,2,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,880,872,866,858,892,886,876,867,901,894,888,879,915,906,901,889,2,1,1,1,2,1,2,1,2,1,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,879,875,867,857,891,885,874,870,901,898,891,878,915,908,900,891,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,879,872,866,858,893,884,877,870,903,898,890,882,916,901,897,891,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,882,873,865,859,894,888,878,869,901,897,888,883,913,903,898,891,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,879,872,865,858,891,883,876,869,901,892,892,876,910,902,898,890,2,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,877,874,863,856,894,886,878,869,903,898,888,880,917,902,900,889,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,877,872,864,859,891,883,880,868,902,896,889,877,915,905,897,891,2,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,877,873,865,856,896,885,879,869,903,896,890,881,914,907,898,893,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,881,874,867,857,889,880,876,869,901,897,886,879,912,908,898,888,2,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11,879,872,866,857,893,882,877,866,901,897,890,877,913,909,898,887,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12,878,870,868,857,896,885,874,866,902,897,889,879,911,907,897,890,2,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
13,876,873,865,859,896,885,874,864,902,897,889,881,913,906,900,889,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14,881,869,863,857,890,886,877,867,906,897,889,879,913,906,898,887,2,1,1,1,2,1,2,1,2,1,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15,878,874,866,858,894,885,877,870,901,899,892,881,910,909,898,891,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
16,878,874,863,858,893,886,873,867,901,897,888,876,910,905,897,885,2,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
17,881,871,866,860,891,884,876,864,905,899,887,881,913,911,899,891,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
18,879,872,863,858,892,884,877,868,903,897,889,879,916,907,900,886,2,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
19,884,873,869,857,890,886,874,867,902,894,886,878,921,907,899,886,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20,880,872,866,856,890,883,877,869,901,897,892,880,912,904,897,891,2,1,1,1,2,1,1,1,2,2,2,2,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
21,879,872,866,859,893,885,876,870,902,897,886,879,910,908,899,891,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
22,876,874,868,857,890,884,877,869,902,893,888,878,914,906,897,890,2,1,1,1,2,1,2,2,2,1,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
23,880,871,865,859,892,887,878,872,903,897,890,882,915,904,897,892,2,1,1,1,2,2,1,2,2,2,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
24,879,869,864,856,890,883,876,867,903,895,890,880,915,904,899,888,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25,880,871,864,858,893,885,880,868,903,898,888,881,917,911,900,892,2,1,1,1,2,1,1,2,2,2,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26,879,871,865,857,890,885,875,868,900,895,890,877,915,908,894,887,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
27,882,873,866,860,893,885,877,870,905,896,888,877,921,911,899,890,2,2,1,1,2,2,1,2,2,2,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
28,878,871,864,859,892,883,878,867,900,898,891,879,915,905,897,891,2,1,1,1,2,1,1,1,2,2,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
29,880,872,867,860,892,884,877,872,904,894,890,882,915,906,900,885,2,1,1,1,2,2,2,2,2,2,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30,877,874,866,857,890,886,874,867,901,896,890,879,915,905,897,891,2,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
31,881,873,866,858,894,885,876,867,905,897,888,879,911,909,899,887,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
32,877,872,866,857,891,886,875,867,902,893,886,877,917,909,897,886,2,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
33,882,873,866,856,891,889,878,871,902,898,892,881,914,908,897,892,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
34,879,873,864,857,888,884,876,866,905,897,889,882,909,908,899,889,2,1,1,1,2,1,1,1,2,2,2,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
35,879,875,865,859,894,887,876,869,904,896,890,877,913,904,899,888,2,2,1,1,2,1,2,2,2,2,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
36,878,872,866,857,893,884,875,867,902,894,888,878,910,904,896,890,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
37,879,874,867,856,893,886,877,872,903,897,887,878,914,902,898,895,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
38,880,871,868,857,889,884,877,866,898,898,890,881,914,906,900,888,2,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
39,881,872,869,860,894,884,877,865,906,896,888,880,913,903,899,886,2,2,1,1,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
40,880,869,866,856,893,885,877,868,900,897,886,878,913,907,897,885,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
41,881,870,865,856,894,887,881,867,903,897,890,883,910,907,896,892,2,1,1,1,2,1,1,1,2,2,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
42,878,869,864,857,892,886,878,869,902,893,889,883,913,906,895,882,2,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
43,880,874,867,858,889,886,877,866,905,900,886,876,914,909,900,888,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
44,877,870,865,854,887,887,876,869,904,898,889,876,914,906,899,890,2,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
45,886,875,863,858,896,886,876,868,900,895,892,877,913,908,898,895,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
46,879,871,864,858,894,883,875,867,898,895,890,876,916,903,897,891,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
47,879,871,868,855,891,885,877,868,903,895,891,879,919,909,895,893,2,1,1,1,2,1,2,2,2,2,2,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
