frame,dist_z0,dist_z1,dist_z2,dist_z3,dist_z4,dist_z5,dist_z6,dist_z7,dist_z8,dist_z9,dist_z10,dist_z11,dist_z12,dist_z13,dist_z14,dist_z15,sigma_z0,sigma_z1,sigma_z2,sigma_z3,sigma_z4,sigma_z5,sigma_z6,sigma_z7,sigma_z8,sigma_z9,sigma_z10,sigma_z11,sigma_z12,sigma_z13,sigma_z14,sigma_z15,status_z0,status_z1,status_z2,status_z3,status_z4,status_z5,status_z6,status_z7,status_z8,status_z9,status_z10,status_z11,status_z12,status_z13,status_z14,status_z15
0,872,875,862,856,889,883,873,865,900,895,885,879,908,904,893,889,3,3,2,2,3,2,2,2,3,3,2,2,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,879,869,860,859,890,883,872,867,897,889,884,877,911,901,894,888,2,3,2,2,3,3,2,3,3,2,3,2,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,875,875,864,856,891,885,871,862,903,893,883,878,915,902,894,890,3,3,2,2,3,2,2,2,3,2,2,3,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,877,872,862,854,890,881,874,866,901,893,884,884,915,903,901,884,3,2,2,2,3,3,2,3,3,2,3,3,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,877,865,863,852,887,881,872,865,897,892,888,878,911,905,897,881,3,2,2,2,3,2,2,2,3,3,3,3,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,879,869,862,854,888,880,871,871,901,890,887,878,909,907,895,879,3,2,2,2,3,2,3,3,3,2,3,2,5,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,872,864,860,852,892,886,874,868,903,889,890,876,917,912,896,888,3,2,2,2,3,2,3,3,3,3,3,3,4,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,877,870,861,854,889,882,874,866,904,896,889,875,917,905,902,881,3,2,2,2,3,2,3,3,3,3,3,3,5,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,875,869,864,853,896,878,872,861,899,895,885,876,910,897,893,889,3,2,2,2,3,2,2,2,3,2,2,3,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,875,871,860,855,893,883,874,868,899,896,888,880,915,902,899,885,3,2,2,2,3,2,2,3,3,2,2,3,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,879,865,863,854,888,879,876,866,903,891,887,873,908,913,896,885,3,2,2,2,3,2,3,2,3,2,2,3,4,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11,875,869,861,856,890,880,874,868,900,896,883,875,919,901,896,892,3,2,2,2,3,2,3,3,3,3,3,3,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12,873,869,864,856,896,890,873,862,895,891,886,876,913,898,893,892,3,2,2,2,3,3,2,2,3,2,2,3,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
13,876,868,863,857,886,884,872,862,902,894,887,880,904,907,897,883,3,2,2,2,3,3,2,3,3,3,2,3,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14,880,869,863,852,892,883,873,866,898,895,889,876,909,900,894,888,3,2,2,2,3,2,2,3,3,2,3,3,4,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15,877,868,866,853,890,880,874,859,892,893,883,874,909,906,889,883,3,2,2,2,3,2,2,3,3,3,3,3,5,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
16,877,867,864,855,887,884,872,865,898,893,889,878,914,906,893,885,3,2,2,2,3,2,2,3,3,2,2,3,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
17,878,867,864,857,881,881,873,865,900,893,886,883,905,903,900,890,3,2,2,2,3,2,2,3,3,2,3,3,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
18,878,874,858,853,890,880,872,866,906,894,886,875,914,909,896,885,3,2,2,2,3,2,2,3,3,2,3,3,4,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
19,875,873,863,851,890,880,876,869,901,892,885,879,911,906,890,884,3,3,2,2,3,2,2,3,3,3,3,3,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20,882,874,862,854,895,885,875,866,897,890,887,872,902,909,901,887,2,2,2,2,3,2,2,2,2,2,2,3,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
21,878,869,861,853,890,874,875,868,906,897,888,878,912,901,897,885,3,3,2,2,3,3,3,3,3,2,3,3,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
22,880,871,863,855,891,882,875,870,894,891,886,878,909,903,902,889,3,2,2,2,3,2,2,2,2,2,2,3,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
