frame,dist_z0,dist_z1,dist_z2,dist_z3,dist_z4,dist_z5,dist_z6,dist_z7,dist_z8,dist_z9,dist_z10,dist_z11,dist_z12,dist_z13,dist_z14,dist_z15,dist_z16,dist_z17,dist_z18,dist_z19,dist_z20,dist_z21,dist_z22,dist_z23,dist_z24,dist_z25,dist_z26,dist_z27,dist_z28,dist_z29,dist_z30,dist_z31,dist_z32,dist_z33,dist_z34,dist_z35,dist_z36,dist_z37,dist_z38,dist_z39,dist_z40,dist_z41,dist_z42,dist_z43,dist_z44,dist_z45,dist_z46,dist_z47,dist_z48,dist_z49,dist_z50,dist_z51,dist_z52,dist_z53,dist_z54,dist_z55,dist_z56,dist_z57,dist_z58,dist_z59,dist_z60,dist_z61,dist_z62,dist_z63,sigma_z0,sigma_z1,sigma_z2,sigma_z3,sigma_z4,sigma_z5,sigma_z6,sigma_z7,sigma_z8,sigma_z9,sigma_z10,sigma_z11,sigma_z12,sigma_z13,sigma_z14,sigma_z15,sigma_z16,sigma_z17,sigma_z18,sigma_z19,sigma_z20,sigma_z21,sigma_z22,sigma_z23,sigma_z24,sigma_z25,sigma_z26,sigma_z27,sigma_z28,sigma_z29,sigma_z30,sigma_z31,sigma_z32,sigma_z33,sigma_z34,sigma_z35,sigma_z36,sigma_z37,sigma_z38,sigma_z39,sigma_z40,sigma_z41,sigma_z42,sigma_z43,sigma_z44,sigma_z45,sigma_z46,sigma_z47,sigma_z48,sigma_z49,sigma_z50,sigma_z51,sigma_z52,sigma_z53,sigma_z54,sigma_z55,sigma_z56,sigma_z57,sigma_z58,sigma_z59,sigma_z60,sigma_z61,sigma_z62,sigma_z63,status_z0,status_z1,status_z2,status_z3,status_z4,status_z5,status_z6,status_z7,status_z8,status_z9,status_z10,status_z11,status_z12,status_z13,status_z14,status_z15,status_z16,status_z17,status_z18,status_z19,status_z20,status_z21,status_z22,status_z23,status_z24,status_z25,status_z26,status_z27,status_z28,status_z29,status_z30,status_z31,status_z32,status_z33,status_z34,status_z35,status_z36,status_z37,status_z38,status_z39,status_z40,status_z41,status_z42,status_z43,status_z44,status_z45,status_z46,status_z47,status_z48,status_z49,status_z50,status_z51,status_z52,status_z53,status_z54,status_z55,status_z56,status_z57,status_z58,status_z59,status_z60,status_z61,status_z62,status_z63
10,680,677,671,669,659,659,661,651,689,675,677,674,666,663,664,652,688,693,682,686,680,664,666,668,701,685,690,684,684,678,667,672,710,700,695,687,677,689,685,674,707,701,702,706,700,699,695,680,715,715,711,706,697,698,692,698,705,711,724,699,713,701,698,702,5,4,4,4,4,4,3,4,5,4,4,4,4,4,3,4,7,7,4,4,4,4,5,4,7,4,5,4,4,4,5,5,6,4,4,5,4,4,4,4,5,5,4,5,6,4,5,5,6,6,5,5,5,5,5,7,9,9,6,6,6,5,5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11,681,681,671,672,669,650,660,650,690,674,673,668,668,662,658,655,689,686,677,688,684,675,669,666,693,698,684,685,681,680,676,671,711,697,700,701,691,690,678,673,720,706,706,690,700,692,683,680,706,716,710,716,697,694,691,692,732,709,708,708,711,701,705,705,5,4,4,5,4,4,4,4,5,4,5,4,4,4,4,4,6,7,4,4,4,4,4,4,6,4,5,4,4,4,5,5,7,5,4,4,5,5,4,4,6,6,5,6,5,5,5,6,6,7,6,5,5,5,5,7,8,9,5,7,5,7,6,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12,679,675,676,674,658,661,658,651,702,681,684,668,666,666,661,665,690,691,683,679,674,669,661,662,682,690,690,689,680,678,671,659,706,710,695,684,684,682,676,676,705,704,698,696,698,679,686,691,724,724,710,703,693,688,699,682,721,717,718,700,702,709,694,687,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,6,6,5,5,4,4,4,4,6,4,5,4,4,4,5,5,6,5,4,5,5,4,4,4,5,4,4,5,6,5,4,6,6,5,7,6,4,5,5,6,8,11,5,7,6,5,6,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
13,682,668,682,664,662,663,660,646,680,685,672,661,664,668,656,661,707,683,683,678,680,672,669,665,705,692,688,692,683,679,673,666,698,700,699,697,689,688,670,672,719,701,693,704,702,689,684,672,707,715,705,706,703,699,689,687,718,726,717,707,698,704,709,706,6,5,5,5,4,4,4,5,6,4,5,4,4,4,4,5,6,6,5,5,4,4,5,4,5,5,5,4,4,4,5,5,7,5,5,4,5,5,5,4,6,5,5,5,5,5,5,5,6,6,7,5,6,5,6,7,8,10,6,7,7,7,7,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14,685,675,671,665,662,657,654,661,686,683,671,670,671,663,663,660,693,694,681,679,671,671,666,664,699,690,681,684,683,673,673,658,704,700,705,686,681,686,687,680,705,701,706,703,694,694,694,679,722,728,713,704,701,697,699,673,736,726,728,711,712,690,703,698,5,4,4,4,4,4,4,5,5,4,4,4,5,4,4,4,6,6,5,4,3,4,4,4,6,5,5,4,4,4,5,5,5,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,6,8,5,7,5,5,5,5,9,8,5,8,7,5,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15,681,676,674,671,659,657,650,647,683,687,677,672,673,661,665,656,697,691,688,681,672,674,657,664,696,701,698,682,685,684,688,675,710,702,704,691,690,684,680,677,710,703,704,700,698,690,678,687,722,709,717,705,694,695,701,696,714,738,716,707,717,711,705,688,6,4,4,5,4,4,4,5,5,4,4,5,4,4,4,4,5,6,4,6,4,4,5,4,8,5,6,4,5,4,5,5,6,4,4,5,5,5,5,5,5,5,5,5,5,5,6,5,6,7,5,6,5,5,6,7,7,10,5,9,5,6,6,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
16,672,679,664,663,663,661,656,648,678,673,675,676,659,666,664,658,691,679,676,677,674,665,666,660,702,695,694,689,676,673,671,670,700,702,693,699,686,683,676,675,715,697,709,699,693,692,679,681,722,716,708,702,699,694,682,705,726,730,716,711,701,708,701,699,5,4,4,4,3,4,3,4,5,4,4,5,4,4,4,4,6,6,5,5,4,4,4,4,6,5,5,4,4,4,5,5,7,4,5,4,4,4,4,4,6,5,6,5,6,5,4,5,5,7,5,6,5,4,6,6,7,9,5,9,5,5,5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
17,680,678,670,662,671,662,649,651,690,677,683,670,667,668,658,659,687,686,680,677,672,674,672,659,697,689,699,682,689,678,671,679,693,700,697,689,682,684,686,677,719,717,692,697,686,688,685,683,712,710,706,703,697,690,684,690,722,731,711,708,713,718,705,689,6,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,7,5,5,5,4,5,4,4,6,5,6,4,5,4,5,5,6,4,4,5,5,5,4,5,6,5,4,5,6,5,5,5,6,7,6,6,6,5,7,7,7,9,6,7,5,7,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
18,687,675,668,664,666,659,653,650,688,678,674,668,665,670,662,660,689,684,679,680,676,672,670,657,694,694,696,686,680,681,678,664,699,704,692,689,682,680,679,675,707,707,701,694,704,695,691,689,712,712,706,700,692,692,698,683,724,723,718,712,714,701,710,682,6,4,4,4,4,4,4,5,5,4,4,4,4,3,4,4,7,5,5,5,4,5,4,4,6,4,4,4,4,4,5,6,5,5,5,4,4,5,4,4,5,5,4,5,5,4,5,6,6,6,6,5,5,5,5,6,8,8,5,7,6,5,6,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
19,671,678,665,663,667,656,657,656,691,674,674,671,667,664,658,657,688,688,680,681,673,662,665,671,699,691,696,680,679,683,677,672,707,696,694,692,691,685,683,669,709,711,703,703,687,689,689,681,705,713,716,694,694,693,704,700,717,701,711,705,699,706,701,714,5,5,4,5,3,4,4,4,5,4,4,5,4,4,3,4,7,5,5,5,4,4,4,4,5,5,5,4,4,5,5,4,6,5,4,5,5,5,5,5,5,6,4,6,6,4,5,6,6,7,6,5,5,5,6,8,9,8,5,7,6,6,7,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
