frame,dist_z0,dist_z1,dist_z2,dist_z3,dist_z4,dist_z5,dist_z6,dist_z7,dist_z8,dist_z9,dist_z10,dist_z11,dist_z12,dist_z13,dist_z14,dist_z15,dist_z16,dist_z17,dist_z18,dist_z19,dist_z20,dist_z21,dist_z22,dist_z23,dist_z24,dist_z25,dist_z26,dist_z27,dist_z28,dist_z29,dist_z30,dist_z31,dist_z32,dist_z33,dist_z34,dist_z35,dist_z36,dist_z37,dist_z38,dist_z39,dist_z40,dist_z41,dist_z42,dist_z43,dist_z44,dist_z45,dist_z46,dist_z47,dist_z48,dist_z49,dist_z50,dist_z51,dist_z52,dist_z53,dist_z54,dist_z55,dist_z56,dist_z57,dist_z58,dist_z59,dist_z60,dist_z61,dist_z62,dist_z63,sigma_z0,sigma_z1,sigma_z2,sigma_z3,sigma_z4,sigma_z5,sigma_z6,sigma_z7,sigma_z8,sigma_z9,sigma_z10,sigma_z11,sigma_z12,sigma_z13,sigma_z14,sigma_z15,sigma_z16,sigma_z17,sigma_z18,sigma_z19,sigma_z20,sigma_z21,sigma_z22,sigma_z23,sigma_z24,sigma_z25,sigma_z26,sigma_z27,sigma_z28,sigma_z29,sigma_z30,sigma_z31,sigma_z32,sigma_z33,sigma_z34,sigma_z35,sigma_z36,sigma_z37,sigma_z38,sigma_z39,sigma_z40,sigma_z41,sigma_z42,sigma_z43,sigma_z44,sigma_z45,sigma_z46,sigma_z47,sigma_z48,sigma_z49,sigma_z50,sigma_z51,sigma_z52,sigma_z53,sigma_z54,sigma_z55,sigma_z56,sigma_z57,sigma_z58,sigma_z59,sigma_z60,sigma_z61,sigma_z62,sigma_z63,status_z0,status_z1,status_z2,status_z3,status_z4,status_z5,status_z6,status_z7,status_z8,status_z9,status_z10,status_z11,status_z12,status_z13,status_z14,status_z15,status_z16,status_z17,status_z18,status_z19,status_z20,status_z21,status_z22,status_z23,status_z24,status_z25,status_z26,status_z27,status_z28,status_z29,status_z30,status_z31,status_z32,status_z33,status_z34,status_z35,status_z36,status_z37,status_z38,status_z39,status_z40,status_z41,status_z42,status_z43,status_z44,status_z45,status_z46,status_z47,status_z48,status_z49,status_z50,status_z51,status_z52,status_z53,status_z54,status_z55,status_z56,status_z57,status_z58,status_z59,status_z60,status_z61,status_z62,status_z63
0,676,666,682,658,660,667,647,647,687,681,678,675,666,670,663,657,677,695,701,676,682,680,670,686,699,679,701,691,677,682,679,664,716,702,701,702,705,701,681,678,703,696,700,708,692,682,682,683,707,712,719,701,702,691,683,692,731,738,721,723,710,693,707,687,7,5,6,6,4,5,5,6,6,5,5,5,5,5,5,5,8,9,6,5,5,5,4,6,8,7,8,5,5,5,7,7,8,6,5,7,8,5,7,7,6,8,6,6,7,6,6,7,7,7,8,10,6,6,7,10,9,15,7,9,6,8,7,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,691,660,673,665,660,665,653,646,678,675,682,670,665,660,660,667,697,685,688,682,671,675,668,656,703,693,700,693,686,680,674,665,692,701,697,687,700,687,677,682,728,709,705,715,702,687,685,678,722,720,706,706,697,687,690,683,735,728,709,712,704,703,700,683,8,5,5,5,5,4,5,5,7,5,4,5,5,4,5,5,7,7,5,6,4,5,6,5,7,6,5,6,5,5,5,6,8,6,5,6,5,6,6,6,7,7,6,7,5,6,5,7,7,9,7,7,5,5,7,8,10,13,6,7,8,8,7,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,683,674,672,661,665,658,657,648,679,669,682,670,670,657,654,656,690,680,682,678,689,672,669,662,704,686,697,675,679,691,686,655,707,701,696,688,678,680,692,676,715,697,703,714,683,699,682,682,716,706,707,702,712,708,695,700,717,708,725,707,715,692,698,707,7,7,6,5,5,5,5,6,7,5,5,6,5,5,5,4,7,7,7,6,4,5,6,5,6,6,8,5,5,4,7,7,7,6,5,6,5,6,5,8,7,6,6,7,8,6,7,7,6,7,7,8,7,8,7,9,9,13,8,9,5,7,6,16,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,671,669,677,663,654,658,660,658,678,694,680,668,662,667,663,658,704,692,687,681,672,670,669,656,700,698,691,690,681,690,665,667,688,701,700,697,693,679,683,674,710,702,700,686,701,690,676,682,713,718,714,692,708,691,689,692,729,701,731,725,706,706,696,681,6,6,6,5,5,4,4,5,8,7,4,5,4,5,5,6,9,8,5,6,4,5,4,5,7,5,6,6,5,5,4,7,7,5,4,6,6,5,5,5,7,7,7,6,7,6,7,7,5,9,6,7,7,6,7,8,9,11,6,9,8,6,6,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,675,679,672,667,661,656,656,654,693,673,679,672,672,668,659,666,694,675,684,678,678,666,679,657,694,691,703,689,685,677,679,666,699,707,705,699,696,689,680,679,712,696,706,700,706,687,685,686,713,706,713,700,711,696,700,685,723,724,708,709,709,701,702,687,7,5,6,5,4,5,5,6,7,5,4,5,6,6,4,5,9,7,6,5,5,6,5,6,7,6,5,6,5,6,5,5,8,7,5,5,6,7,7,7,6,6,7,7,10,6,7,7,9,8,8,7,7,6,6,8,9,13,6,9,8,9,7,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,670,675,667,671,668,665,657,665,691,678,683,661,675,670,665,656,688,690,684,683,667,664,675,657,692,697,696,692,679,674,676,670,700,699,692,695,696,686,687,682,719,707,696,706,685,685,683,685,719,708,697,704,695,695,687,693,730,741,735,711,698,688,687,715,6,7,5,5,4,5,5,5,6,5,5,4,5,5,5,5,7,8,6,6,5,5,5,5,7,5,6,5,4,4,6,5,7,6,5,5,6,6,4,7,6,7,4,6,7,6,5,7,10,7,6,8,6,7,8,8,10,12,6,8,7,7,6,15,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,685,686,673,672,665,658,659,658,685,673,681,673,679,659,665,659,695,690,679,675,676,676,657,659,695,691,699,683,676,678,681,659,710,702,689,689,694,698,672,677,708,716,703,704,680,679,685,693,722,696,704,722,720,684,696,691,725,725,713,725,699,714,693,678,6,5,5,6,5,4,5,6,7,5,6,5,6,4,4,5,8,6,6,6,5,6,5,6,7,6,8,5,5,5,5,6,6,7,6,7,7,7,5,7,6,7,5,5,6,6,6,8,6,8,7,7,6,5,7,9,9,9,8,9,8,8,7,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,662,675,668,658,663,664,644,655,686,681,667,686,672,673,659,649,686,696,682,684,671,665,663,661,692,683,684,688,679,672,681,676,704,703,692,689,678,686,681,678,696,703,708,701,698,692,694,682,716,703,717,700,705,700,688,682,717,732,713,695,708,711,691,690,6,7,5,6,4,5,5,7,6,5,4,6,6,4,5,5,7,8,6,6,4,5,5,5,6,6,5,5,5,5,5,6,7,7,6,6,5,6,5,5,7,7,6,5,6,5,6,6,7,9,6,7,6,7,8,7,10,12,6,9,8,7,6,13,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,673,681,663,686,671,667,660,645,683,675,678,668,680,667,660,658,696,690,689,678,668,662,660,677,695,699,690,692,680,677,667,666,716,713,701,680,681,678,673,678,707,696,710,702,704,680,687,688,704,728,700,698,701,698,699,701,723,737,724,714,700,707,695,692,6,6,4,7,5,5,7,5,8,5,7,5,6,5,5,5,6,7,6,6,4,5,5,7,9,6,8,6,5,6,6,6,6,6,5,6,5,5,6,7,8,6,7,7,7,6,6,8,7,9,8,7,6,7,6,9,10,10,7,14,8,7,7,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,678,672,663,670,667,656,652,656,693,687,685,667,671,667,663,653,694,682,687,688,672,675,672,664,690,699,686,681,678,681,671,660,707,704,688,686,681,677,677,662,707,693,696,707,688,699,681,682,722,716,702,708,701,700,699,679,730,723,702,716,711,704,702,685,6,5,5,5,4,5,4,7,6,4,5,5,5,5,4,4,8,6,6,5,5,5,4,5,8,6,6,5,5,6,6,7,6,5,6,5,6,5,6,6,6,6,5,7,7,6,5,7,8,8,6,6,7,6,7,7,14,12,9,9,6,7,6,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
