frame,dist_z0,dist_z1,dist_z2,dist_z3,dist_z4,dist_z5,dist_z6,dist_z7,dist_z8,dist_z9,dist_z10,dist_z11,dist_z12,dist_z13,dist_z14,dist_z15,sigma_z0,sigma_z1,sigma_z2,sigma_z3,sigma_z4,sigma_z5,sigma_z6,sigma_z7,sigma_z8,sigma_z9,sigma_z10,sigma_z11,sigma_z12,sigma_z13,sigma_z14,sigma_z15,status_z0,status_z1,status_z2,status_z3,status_z4,status_z5,status_z6,status_z7,status_z8,status_z9,status_z10,status_z11,status_z12,status_z13,status_z14,status_z15
0,679,669,662,655,693,683,673,669,704,696,687,680,718,709,698,691,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,673,671,663,654,690,683,674,670,702,698,689,681,723,710,703,694,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,677,669,662,656,693,685,676,668,703,696,688,679,715,710,697,692,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,676,669,662,655,690,682,676,668,707,700,688,680,717,710,701,693,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,679,669,661,655,693,682,675,671,701,696,687,677,715,711,701,692,1,1,1,1,2,2,1,1,2,1,2,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,679,673,661,656,692,685,675,668,704,696,689,679,720,706,699,690,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,679,672,661,654,689,684,676,667,703,697,687,680,716,709,700,694,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,675,673,662,656,695,685,675,668,701,698,687,681,720,708,698,692,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,680,670,661,656,688,683,677,668,704,698,689,682,720,711,699,694,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,677,672,662,655,691,682,674,668,703,696,687,680,716,711,699,693,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,676,669,665,654,693,683,676,665,703,699,688,679,714,708,699,691,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11,676,671,662,657,695,682,677,668,701,694,687,680,710,705,700,694,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12,680,670,662,655,691,682,677,668,699,697,687,681,711,707,701,692,1,1,1,1,2,2,1,1,2,1,2,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
13,679,674,661,654,690,684,676,668,703,697,685,680,720,707,700,694,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14,680,671,664,654,691,684,675,668,703,696,689,680,717,707,700,692,1,1,1,1,2,2,1,1,2,1,2,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15,677,672,665,654,693,681,677,670,703,696,691,682,716,709,699,694,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
16,680,671,661,656,692,683,676,670,702,695,689,679,710,712,698,695,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
17,681,669,661,655,689,683,676,669,705,699,691,679,716,713,697,695,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
18,677,671,660,655,691,683,675,667,707,695,691,681,715,712,699,697,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
19,676,670,661,653,693,687,675,666,705,698,687,680,719,709,697,694,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20,677,668,662,656,695,683,676,666,704,700,690,679,721,708,699,690,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
21,679,670,663,655,691,686,675,667,705,696,689,681,718,707,699,698,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
22,678,672,665,652,693,684,675,667,705,697,689,681,714,709,697,694,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
23,681,670,660,657,694,684,673,669,705,698,688,681,714,710,698,697,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
24,680,669,663,655,692,682,675,667,704,696,687,681,719,711,698,694,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25,677,670,662,655,695,684,678,670,704,696,692,682,719,706,701,693,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26,677,671,664,654,691,684,675,668,702,696,688,678,718,707,700,696,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
27,676,672,663,656,691,684,677,668,703,697,690,680,719,710,702,696,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
28,678,670,664,654,691,682,676,669,704,697,687,679,713,707,699,691,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
29,680,671,666,657,692,684,672,667,702,696,689,680,721,712,699,694,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30,680,669,660,654,691,683,674,666,703,695,689,680,720,711,701,694,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
31,680,673,662,658,693,686,674,667,703,697,688,682,717,707,698,693,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
32,678,669,662,658,693,684,676,668,704,695,690,679,714,709,699,693,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
33,677,670,664,655,690,684,677,668,703,696,690,682,712,702,702,693,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
34,677,671,660,653,689,682,673,670,703,697,690,679,713,710,702,694,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
35,678,670,663,655,690,686,675,668,705,699,686,676,710,712,698,694,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
36,677,671,660,656,693,683,675,670,706,697,688,681,718,710,699,693,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
37,678,671,662,656,690,685,677,670,705,696,689,680,713,711,696,695,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
38,677,671,661,655,691,682,676,667,702,698,686,679,714,706,697,693,1,1,1,1,2,2,1,1,2,1,2,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
39,677,672,664,655,691,683,677,668,703,695,689,678,717,712,701,697,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
