frame,dist_z0,dist_z1,dist_z2,dist_z3,dist_z4,dist_z5,dist_z6,dist_z7,dist_z8,dist_z9,dist_z10,dist_z11,dist_z12,dist_z13,dist_z14,dist_z15,sigma_z0,sigma_z1,sigma_z2,sigma_z3,sigma_z4,sigma_z5,sigma_z6,sigma_z7,sigma_z8,sigma_z9,sigma_z10,sigma_z11,sigma_z12,sigma_z13,sigma_z14,sigma_z15,status_z0,status_z1,status_z2,status_z3,status_z4,status_z5,status_z6,status_z7,status_z8,status_z9,status_z10,status_z11,status_z12,status_z13,status_z14,status_z15
0,677,668,661,654,689,682,672,663,703,693,685,681,718,710,693,689,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,674,667,661,652,691,682,671,666,705,690,688,677,709,709,698,691,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,676,669,661,654,687,679,671,666,697,697,686,679,707,707,696,693,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,675,670,662,652,688,679,673,667,699,694,687,677,719,705,694,694,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,678,665,659,653,681,682,678,666,707,696,692,679,715,702,701,693,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,672,667,659,651,693,681,673,668,697,696,689,675,720,709,697,693,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,673,670,661,651,694,679,674,667,698,694,686,678,723,707,699,693,2,2,2,2,3,2,2,2,2,2,2,2,3,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,678,667,660,653,687,680,669,664,700,696,683,677,714,700,697,692,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
8,675,670,658,651,687,682,675,665,705,689,685,676,714,710,698,689,2,2,2,2,2,2,2,2,3,2,2,2,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,677,665,661,655,689,679,672,664,698,693,686,679,714,701,692,689,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
10,675,666,662,656,692,679,673,664,706,696,686,678,714,704,701,693,2,2,2,2,3,2,2,2,2,2,2,2,3,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11,675,670,661,651,690,683,673,663,701,695,688,682,717,710,697,696,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
